http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 06:09:12","{""user_id_"":""1"",""exception_"":""no position in marker options"",""class_name_"":""HomeScreen"",""method_name_"":""getMyLocation""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:17:59","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:00","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:01","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:02","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:03","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:03","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:04","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:05","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:05","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:06","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:09","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:10","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:11","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:12","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:12","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:12","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:13","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:15","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:15","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:16","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:16","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:17","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
http://115.124.125.42/Tolls/api/2119/u/exceptionapi,"2016-04-28 07:18:18","{""exception"":""{\n    Exception = \"View must not be nil.\";\n}"",""method_name"":""btnResetCodeClicked"",""class_name"":""ForgotPasswordVC""}"
